FH,FR,MH,MR,CG,NU,Distance,TallerParent,CH
182.88,0.0,160.02,0.0,0.0,0,22.859999999999985,-1.0,172.7
167.64,0.0,165.1,0.0,1.0,0,2.539999999999992,-1.0,154.94
182.88,0.0,160.02,0.0,0.0,0,22.859999999999985,-1.0,167.64
172.72,0.0,165.1,0.0,0.0,0,7.6200000000000045,-1.0,175.26
175.26,0.0,162.56,0.0,0.0,0,12.699999999999989,-1.0,180.34
172.72,0.0,167.64,0.0,0.0,0,5.0800000000000125,-1.0,182.88
179.0,1.0,156.0,3.0,0.0,0,23.0,-1.0,186.0
187.96,1.0,160.02,1.0,0.0,0,27.939999999999998,-1.0,177.8
175.26,0.0,172.72,1.0,1.0,0,2.539999999999992,-1.0,157.48
173.0,2.0,156.0,2.0,0.0,0,17.0,-1.0,174.0
177.8,1.0,167.64,1.0,0.0,0,10.160000000000025,-1.0,175.26
182.88,0.0,149.86,0.0,0.0,0,33.01999999999998,-1.0,167.64
160.02,0.0,152.4,0.0,0.0,0,7.6200000000000045,-1.0,165.1
190.5,0.0,175.26,0.0,0.0,0,15.240000000000009,-1.0,194.31
177.8,1.0,172.72,1.0,0.0,0,5.0800000000000125,-1.0,177.8
177.8,0.0,157.48,0.0,0.0,0,20.32000000000002,-1.0,182.88
175.26,3.0,170.18,3.0,0.0,0,5.079999999999984,-1.0,177.8
185.0,0.0,160.0,0.0,1.0,0,25.0,-1.0,177.0
175.0,0.0,168.0,0.0,1.0,0,7.0,-1.0,169.0
168.0,0.0,170.0,0.0,0.0,1,2.0,1.0,180.0
184.0,0.0,160.0,0.0,0.0,0,24.0,-1.0,174.0
179.0,0.0,166.0,0.0,1.0,0,13.0,-1.0,172.0
178.0,0.0,172.0,0.0,0.0,0,6.0,-1.0,168.0
180.0,0.0,150.0,0.0,1.0,0,30.0,-1.0,155.0
177.0,0.0,163.0,0.0,0.0,0,14.0,-1.0,187.0
170.0,0.0,160.0,0.0,1.0,0,10.0,-1.0,160.0
185.0,0.0,168.0,0.0,1.0,0,17.0,-1.0,160.0
175.0,0.0,165.0,0.0,1.0,0,10.0,-1.0,155.0
185.0,0.0,163.0,0.0,1.0,0,22.0,-1.0,167.0
188.0,0.0,167.0,0.0,1.0,0,21.0,-1.0,173.0
175.0,0.0,169.0,0.0,1.0,1,6.0,-1.0,162.0
181.0,0.0,162.0,0.0,0.0,0,19.0,-1.0,179.0
175.0,0.0,158.0,0.0,1.0,0,17.0,-1.0,163.0
178.0,0.0,162.0,0.0,1.0,0,16.0,-1.0,160.0
168.0,0.0,173.0,0.0,1.0,0,5.0,1.0,158.0
168.0,2.0,161.0,2.0,1.0,1,7.0,-1.0,173.0
