FH,FR,MH,MR,CG,NU,FH_x_Squared,FR_x_Squared,MH_x_Squared,MR_x_Squared,CG_x_Squared,NU_x_Squared,Distance,TallerParent,Distance_Squared,TallerParent_Squared,CH
175.26,0.0,162.56,0.0,0.0,0,30716.0676,0.0,26425.7536,0.0,0.0,0,12.699999999999989,-1.0,161.2899999999997,1.0,177.8
167.64,4.0,160.02,4.0,0.0,0,28103.169599999994,16.0,25606.400400000002,16.0,0.0,0,7.619999999999976,-1.0,58.06439999999964,1.0,167.64
175.26,4.0,144.78,4.0,1.0,0,30716.0676,16.0,20961.2484,16.0,1.0,0,30.47999999999999,-1.0,929.0303999999994,1.0,149.86
180.34,0.0,147.32,0.0,1.0,0,32522.515600000002,0.0,21703.182399999998,0.0,1.0,0,33.02000000000001,-1.0,1090.3204000000007,1.0,152.4
185.42,0.0,162.56,0.0,1.0,0,34380.5764,0.0,26425.7536,0.0,1.0,0,22.859999999999985,-1.0,522.5795999999993,1.0,167.64
172.72,0.0,167.64,0.0,0.0,0,29832.1984,0.0,28103.169599999994,0.0,0.0,0,5.0800000000000125,-1.0,25.806400000000128,1.0,185.42
165.1,0.0,170.18,0.0,1.0,0,27258.01,0.0,28961.2324,0.0,1.0,0,5.0800000000000125,1.0,25.806400000000128,1.0,147.32
180.34,0.0,180.34,0.0,1.0,0,32522.515600000002,0.0,32522.515600000002,0.0,1.0,0,0.0,,0.0,,190.5
182.88,0.0,162.56,0.0,1.0,0,33445.0944,0.0,26425.7536,0.0,1.0,0,20.319999999999993,-1.0,412.9023999999997,1.0,165.1
177.8,0.0,160.02,0.0,1.0,0,31612.840000000004,0.0,25606.400400000002,0.0,1.0,0,17.78,-1.0,316.12840000000006,1.0,167.64
175.26,0.0,162.56,0.0,0.0,0,30716.0676,0.0,26425.7536,0.0,0.0,0,12.699999999999989,-1.0,161.2899999999997,1.0,167.64
172.72,1.0,177.8,1.0,0.0,0,29832.1984,1.0,31612.840000000004,1.0,0.0,0,5.0800000000000125,1.0,25.806400000000128,1.0,182.88
187.96,1.0,167.64,1.0,1.0,0,35328.9616,1.0,28103.169599999994,1.0,1.0,0,20.32000000000002,-1.0,412.90240000000085,1.0,170.18
185.42,1.0,175.26,1.0,0.0,0,34380.5764,1.0,30716.0676,1.0,0.0,0,10.159999999999997,-1.0,103.22559999999993,1.0,182.88
177.8,0.0,167.64,0.0,0.0,0,31612.840000000004,0.0,28103.169599999994,0.0,0.0,0,10.160000000000025,-1.0,103.22560000000051,1.0,172.72
170.18,1.0,162.56,1.0,0.0,0,28961.2324,1.0,26425.7536,1.0,0.0,0,7.6200000000000045,-1.0,58.06440000000007,1.0,165.1
182.42,0.0,162.56,0.0,,0,33277.056399999994,0.0,26425.7536,0.0,,0,19.859999999999985,-1.0,394.41959999999943,1.0,162.56
160.02,1.0,187.96,1.0,0.0,0,25606.400400000002,1.0,35328.9616,1.0,0.0,0,27.939999999999998,1.0,780.6435999999999,1.0,190.5
170.18,1.0,165.1,1.0,0.0,0,28961.2324,1.0,27258.01,1.0,0.0,0,5.0800000000000125,-1.0,25.806400000000128,1.0,182.88
195.58,1.0,175.26,1.0,0.0,0,38251.536400000005,1.0,30716.0676,1.0,0.0,0,20.32000000000002,-1.0,412.90240000000085,1.0,180.34
165.1,1.0,167.64,1.0,0.0,0,27258.01,1.0,28103.169599999994,1.0,0.0,0,2.539999999999992,1.0,6.451599999999959,1.0,170.18
165.1,0.0,182.88,0.0,0.0,0,27258.01,0.0,33445.0944,0.0,0.0,0,17.78,1.0,316.12840000000006,1.0,180.34
172.72,1.0,172.72,1.0,0.0,0,29832.1984,1.0,29832.1984,1.0,0.0,0,0.0,,0.0,,165.1
193.04,1.0,180.34,1.0,,0,37264.4416,1.0,32522.515600000002,1.0,,0,12.699999999999989,-1.0,161.2899999999997,1.0,175.26
